Flight ID,Flight Date,Airline,Flight Number,Departure Airport,Arrival Airport,Scheduled Departure Time,Actual Departure Time,Departure Delay (Minutes),Scheduled Arrival Time,Actual Arrival Time,Arrival Delay (Minutes),Passenger Count,Terminal,Gate Number,Flight Status
456902,1/1/2024,Delta,DE196,LAX,LHR,1/1/2024 6:00,1/1/2024 6:10,79,1/1/2024 10:00,1/1/2024 10:15,145,155,Terminal 1,G47,Delayed
471427,1/1/2024,American Airlines,AM118,JFK,HND,1/1/2024 7:00,1/1/2024 7:10,56,1/1/2024 11:00,1/1/2024 11:15,76,282,Terminal 4,G41,Delayed
120762,1/1/2024,United Airlines,AM623,ATL,DXB,1/1/2024 8:00,1/1/2024 8:10,56,1/1/2024 12:00,1/1/2024 12:15,74,299,Terminal 3,G24,Cancelled
651683,1/1/2024,United Airlines,AM840,LAX,DXB,1/1/2024 9:00,1/1/2024 9:10,19,1/1/2024 13:00,1/1/2024 13:15,56,392,Terminal 4,G9,Cancelled
776951,1/1/2024,American Airlines,UN729,ATL,DXB,1/1/2024 10:00,1/1/2024 10:10,111,1/1/2024 14:00,1/1/2024 14:15,168,161,Terminal 2,G8,On Time
127796,1/1/2024,United Airlines,UN296,LAX,SYD,1/1/2024 11:00,1/1/2024 11:10,83,1/1/2024 15:00,1/1/2024 15:15,20,104,Terminal 5,G38,Delayed
780112,1/1/2024,Emirates,UN874,LAX,LHR,1/1/2024 12:00,1/1/2024 12:10,56,1/1/2024 16:00,1/1/2024 16:15,108,139,Terminal 5,G39,Cancelled
138711,1/1/2024,Emirates,UN954,JFK,LHR,1/1/2024 13:00,1/1/2024 13:10,70,1/1/2024 17:00,1/1/2024 17:15,56,233,Terminal 4,G34,Cancelled
456263,1/1/2024,Emirates,DE207,ORD,CDG,1/1/2024 14:00,1/1/2024 14:10,84,1/1/2024 18:00,1/1/2024 18:15,56,130,Terminal 4,G2,On Time
971868,1/1/2024,Delta,EM102,JFK,CDG,1/1/2024 15:00,1/1/2024 15:10,34,1/1/2024 19:00,1/1/2024 19:15,56,209,Terminal 4,G25,Cancelled
151031,1/1/2024,United Airlines,EM736,ATL,DXB,1/1/2024 16:00,1/1/2024 16:10,79,1/1/2024 20:00,1/1/2024 20:15,139,235,Terminal 3,G34,On Time
811748,1/1/2024,American Airlines,EM405,LAX,CDG,1/1/2024 17:00,1/1/2024 17:10,56,1/1/2024 21:00,1/1/2024 21:15,50,321,Terminal 4,G17,Cancelled
737971,1/1/2024,American Airlines,LU536,JFK,LHR,1/1/2024 18:00,1/1/2024 18:10,28,1/1/2024 22:00,1/1/2024 22:15,56,300,Terminal 2,G39,Delayed
155930,1/1/2024,Lufthansa,DE545,JFK,DXB,1/1/2024 19:00,1/1/2024 19:10,13,1/1/2024 23:00,1/1/2024 23:15,56,66,Terminal 1,G26,Delayed
675037,1/1/2024,United Airlines,UN870,ORD,CDG,1/1/2024 20:00,1/1/2024 20:10,56,1/2/2024 0:00,1/2/2024 0:15,155,112,Terminal 4,G2,Delayed
328708,1/1/2024,United Airlines,DE840,ORD,SYD,1/1/2024 21:00,1/1/2024 21:10,56,1/2/2024 1:00,1/2/2024 1:15,3,163,Terminal 4,G43,On Time
145142,1/1/2024,Delta,LU625,LAX,DXB,1/1/2024 22:00,1/1/2024 22:10,74,1/2/2024 2:00,1/2/2024 2:15,151,98,Terminal 1,G13,Delayed
536301,1/1/2024,Emirates,DE343,LAX,CDG,1/1/2024 23:00,1/1/2024 23:10,56,1/2/2024 3:00,1/2/2024 3:15,169,109,Terminal 2,G14,On Time
756129,1/1/2024,Lufthansa,DE417,LAX,DXB,1/2/2024 0:00,1/2/2024 0:10,72,1/2/2024 4:00,1/2/2024 4:15,112,82,Terminal 5,G19,Cancelled
752107,1/1/2024,Emirates,DE106,DFW,LHR,1/2/2024 1:00,1/2/2024 1:10,56,1/2/2024 5:00,1/2/2024 5:15,91,277,Terminal 2,G12,Cancelled
295893,1/1/2024,American Airlines,EM798,ORD,SYD,1/2/2024 2:00,1/2/2024 2:10,78,1/2/2024 6:00,1/2/2024 6:15,56,229,Terminal 2,G39,On Time
478228,1/1/2024,Emirates,EM991,ATL,LHR,1/2/2024 3:00,1/2/2024 3:10,56,1/2/2024 7:00,1/2/2024 7:15,56,112,Terminal 4,G50,Cancelled
150285,1/1/2024,Delta,LU633,DFW,HND,1/2/2024 4:00,1/2/2024 4:10,93,1/2/2024 8:00,1/2/2024 8:15,-5,301,Terminal 4,G40,On Time
825448,1/1/2024,Lufthansa,DE181,DFW,LHR,1/2/2024 5:00,1/2/2024 5:10,61,1/2/2024 9:00,1/2/2024 9:15,162,171,Terminal 4,G47,Delayed
844175,1/2/2024,Emirates,AM221,ATL,SYD,1/2/2024 6:00,1/2/2024 6:10,73,1/2/2024 10:00,1/2/2024 10:15,122,391,Terminal 4,G23,On Time
719225,1/2/2024,American Airlines,EM316,DFW,DXB,1/2/2024 7:00,1/2/2024 7:10,38,1/2/2024 11:00,1/2/2024 11:15,38,155,Terminal 3,G4,On Time
898630,1/2/2024,United Airlines,AM526,DFW,DXB,1/2/2024 8:00,1/2/2024 8:10,116,1/2/2024 12:00,1/2/2024 12:15,117,236,Terminal 3,G35,Cancelled
629537,1/2/2024,American Airlines,DE466,LAX,CDG,1/2/2024 9:00,1/2/2024 9:10,115,1/2/2024 13:00,1/2/2024 13:15,141,335,Terminal 1,G26,Cancelled
969742,1/2/2024,Delta,LU368,ORD,CDG,1/2/2024 10:00,1/2/2024 10:10,6,1/2/2024 14:00,1/2/2024 14:15,119,150,Terminal 1,G30,Cancelled
137383,1/2/2024,American Airlines,AM290,ORD,SYD,1/2/2024 11:00,1/2/2024 11:10,56,1/2/2024 15:00,1/2/2024 15:15,56,260,Terminal 5,G10,Delayed
468558,1/2/2024,United Airlines,DE853,ATL,LHR,1/2/2024 12:00,1/2/2024 12:10,56,1/2/2024 16:00,1/2/2024 16:15,56,122,Terminal 3,G47,On Time
488780,1/2/2024,Emirates,DE222,LAX,CDG,1/2/2024 13:00,1/2/2024 13:10,22,1/2/2024 17:00,1/2/2024 17:15,37,200,Terminal 2,G10,Cancelled
552020,1/2/2024,Delta,EM372,DFW,CDG,1/2/2024 14:00,1/2/2024 14:10,18,1/2/2024 18:00,1/2/2024 18:15,153,338,Terminal 5,G27,On Time
409323,1/2/2024,Delta,UN440,ORD,DXB,1/2/2024 15:00,1/2/2024 15:10,119,1/2/2024 19:00,1/2/2024 19:15,145,373,Terminal 4,G43,On Time
426767,1/2/2024,Lufthansa,UN746,JFK,DXB,1/2/2024 16:00,1/2/2024 16:10,99,1/2/2024 20:00,1/2/2024 20:15,148,140,Terminal 1,G41,On Time
938845,1/2/2024,United Airlines,UN233,JFK,HND,1/2/2024 17:00,1/2/2024 17:10,92,1/2/2024 21:00,1/2/2024 21:15,7,113,Terminal 1,G28,Delayed
181612,1/2/2024,Lufthansa,UN183,ORD,DXB,1/2/2024 18:00,1/2/2024 18:10,80,1/2/2024 22:00,1/2/2024 22:15,56,222,Terminal 5,G12,Delayed
713457,1/2/2024,Lufthansa,LU709,ORD,CDG,1/2/2024 19:00,1/2/2024 19:10,56,1/2/2024 23:00,1/2/2024 23:15,140,94,Terminal 2,G35,Delayed
701791,1/2/2024,Lufthansa,DE710,ORD,CDG,1/2/2024 20:00,1/2/2024 20:10,56,1/3/2024 0:00,1/3/2024 0:15,163,223,Terminal 1,G6,Delayed
885182,1/2/2024,Emirates,LU962,DFW,LHR,1/2/2024 21:00,1/2/2024 21:10,44,1/3/2024 1:00,1/3/2024 1:15,56,269,Terminal 1,G4,On Time
401908,1/2/2024,Emirates,UN918,ORD,SYD,1/2/2024 22:00,1/2/2024 22:10,73,1/3/2024 2:00,1/3/2024 2:15,66,346,Terminal 2,G29,Delayed
912474,1/2/2024,Delta,DE716,LAX,SYD,1/2/2024 23:00,1/2/2024 23:10,16,1/3/2024 3:00,1/3/2024 3:15,154,208,Terminal 3,G26,On Time
170809,1/2/2024,Delta,DE340,DFW,HND,1/3/2024 0:00,1/3/2024 0:10,66,1/3/2024 4:00,1/3/2024 4:15,4,209,Terminal 1,G29,Delayed
985232,1/2/2024,Emirates,LU399,DFW,HND,1/3/2024 1:00,1/3/2024 1:10,39,1/3/2024 5:00,1/3/2024 5:15,141,162,Terminal 5,G30,Cancelled
232963,1/2/2024,American Airlines,DE601,JFK,DXB,1/3/2024 2:00,1/3/2024 2:10,89,1/3/2024 6:00,1/3/2024 6:15,14,333,Terminal 2,G48,Cancelled
373939,1/2/2024,Emirates,LU424,JFK,DXB,1/3/2024 3:00,1/3/2024 3:10,56,1/3/2024 7:00,1/3/2024 7:15,133,303,Terminal 3,G29,On Time
321440,1/2/2024,Lufthansa,UN231,JFK,LHR,1/3/2024 4:00,1/3/2024 4:10,56,1/3/2024 8:00,1/3/2024 8:15,18,330,Terminal 5,G50,On Time
538074,1/2/2024,Lufthansa,DE961,JFK,SYD,1/3/2024 5:00,1/3/2024 5:10,9,1/3/2024 9:00,1/3/2024 9:15,139,293,Terminal 2,G35,On Time
169030,1/3/2024,Delta,EM687,LAX,HND,1/3/2024 6:00,1/3/2024 6:10,84,1/3/2024 10:00,1/3/2024 10:15,124,85,Terminal 4,G27,On Time
511501,1/3/2024,American Airlines,EM655,JFK,DXB,1/3/2024 7:00,1/3/2024 7:10,83,1/3/2024 11:00,1/3/2024 11:15,22,284,Terminal 1,G29,On Time
150512,1/3/2024,Lufthansa,AM905,ATL,HND,1/3/2024 8:00,1/3/2024 8:10,82,1/3/2024 12:00,1/3/2024 12:15,86,85,Terminal 4,G43,Cancelled
489862,1/3/2024,Lufthansa,LU125,LAX,HND,1/3/2024 9:00,1/3/2024 9:10,34,1/3/2024 13:00,1/3/2024 13:15,9,168,Terminal 2,G46,Cancelled
113475,1/3/2024,American Airlines,UN127,DFW,CDG,1/3/2024 10:00,1/3/2024 10:10,34,1/3/2024 14:00,1/3/2024 14:15,131,215,Terminal 2,G15,On Time
833128,1/3/2024,American Airlines,DE530,LAX,CDG,1/3/2024 11:00,1/3/2024 11:10,34,1/3/2024 15:00,1/3/2024 15:15,56,400,Terminal 1,G45,On Time
288805,1/3/2024,Lufthansa,UN113,LAX,HND,1/3/2024 12:00,1/3/2024 12:10,13,1/3/2024 16:00,1/3/2024 16:15,70,361,Terminal 2,G39,Delayed
725188,1/3/2024,Delta,DE874,DFW,LHR,1/3/2024 13:00,1/3/2024 13:10,56,1/3/2024 17:00,1/3/2024 17:15,31,160,Terminal 1,G31,Cancelled
766573,1/3/2024,Emirates,DE448,LAX,DXB,1/3/2024 14:00,1/3/2024 14:10,41,1/3/2024 18:00,1/3/2024 18:15,94,228,Terminal 1,G5,Delayed
888100,1/3/2024,American Airlines,AM859,ATL,HND,1/3/2024 15:00,1/3/2024 15:10,56,1/3/2024 19:00,1/3/2024 19:15,56,392,Terminal 4,G35,Cancelled
712753,1/3/2024,Emirates,LU118,LAX,CDG,1/3/2024 16:00,1/3/2024 16:10,83,1/3/2024 20:00,1/3/2024 20:15,27,312,Terminal 4,G5,On Time
739652,1/3/2024,Lufthansa,UN494,LAX,CDG,1/3/2024 17:00,1/3/2024 17:10,119,1/3/2024 21:00,1/3/2024 21:15,94,398,Terminal 4,G39,On Time
144364,1/3/2024,Emirates,EM315,LAX,SYD,1/3/2024 18:00,1/3/2024 18:10,119,1/3/2024 22:00,1/3/2024 22:15,56,349,Terminal 3,G3,Delayed
561601,1/3/2024,Delta,UN406,ORD,LHR,1/3/2024 19:00,1/3/2024 19:10,56,1/3/2024 23:00,1/3/2024 23:15,89,92,Terminal 4,G23,Delayed
518306,1/3/2024,Emirates,EM746,ORD,HND,1/3/2024 20:00,1/3/2024 20:10,56,1/4/2024 0:00,1/4/2024 0:15,56,78,Terminal 3,G42,On Time
196691,1/3/2024,Delta,AM770,ATL,SYD,1/3/2024 21:00,1/3/2024 21:10,56,1/4/2024 1:00,1/4/2024 1:15,-1,229,Terminal 1,G37,Cancelled
709496,1/3/2024,Lufthansa,EM722,JFK,HND,1/3/2024 22:00,1/3/2024 22:10,53,1/4/2024 2:00,1/4/2024 2:15,100,192,Terminal 5,G29,Cancelled
223365,1/3/2024,American Airlines,LU312,ATL,LHR,1/3/2024 23:00,1/3/2024 23:10,73,1/4/2024 3:00,1/4/2024 3:15,84,325,Terminal 3,G17,On Time
899352,1/3/2024,American Airlines,AM160,ATL,HND,1/4/2024 0:00,1/4/2024 0:10,56,1/4/2024 4:00,1/4/2024 4:15,74,139,Terminal 4,G28,On Time
760967,1/3/2024,United Airlines,DE970,DFW,HND,1/4/2024 1:00,1/4/2024 1:10,27,1/4/2024 5:00,1/4/2024 5:15,116,219,Terminal 5,G33,On Time
629272,1/3/2024,Emirates,UN523,JFK,LHR,1/4/2024 2:00,1/4/2024 2:10,75,1/4/2024 6:00,1/4/2024 6:15,55,271,Terminal 5,G37,On Time
214880,1/3/2024,Lufthansa,DE219,ORD,SYD,1/4/2024 3:00,1/4/2024 3:10,62,1/4/2024 7:00,1/4/2024 7:15,110,131,Terminal 4,G37,Cancelled
878017,1/3/2024,Lufthansa,EM301,LAX,DXB,1/4/2024 4:00,1/4/2024 4:10,4,1/4/2024 8:00,1/4/2024 8:15,18,297,Terminal 5,G15,Cancelled
425577,1/3/2024,Delta,EM306,LAX,CDG,1/4/2024 5:00,1/4/2024 5:10,56,1/4/2024 9:00,1/4/2024 9:15,134,159,Terminal 4,G14,On Time
740993,1/4/2024,Emirates,DE467,ATL,CDG,1/4/2024 6:00,1/4/2024 6:10,17,1/4/2024 10:00,1/4/2024 10:15,88,362,Terminal 5,G3,On Time
662665,1/4/2024,United Airlines,AM283,ATL,HND,1/4/2024 7:00,1/4/2024 7:10,56,1/4/2024 11:00,1/4/2024 11:15,94,267,Terminal 5,G24,Delayed
320719,1/4/2024,American Airlines,EM542,DFW,HND,1/4/2024 8:00,1/4/2024 8:10,87,1/4/2024 12:00,1/4/2024 12:15,7,193,Terminal 5,G14,Delayed
533121,1/4/2024,Emirates,AM415,DFW,DXB,1/4/2024 9:00,1/4/2024 9:10,56,1/4/2024 13:00,1/4/2024 13:15,22,151,Terminal 3,G45,On Time
617279,1/4/2024,American Airlines,UN659,ORD,LHR,1/4/2024 10:00,1/4/2024 10:10,11,1/4/2024 14:00,1/4/2024 14:15,56,394,Terminal 3,G32,On Time
647227,1/4/2024,Lufthansa,UN762,DFW,CDG,1/4/2024 11:00,1/4/2024 11:10,3,1/4/2024 15:00,1/4/2024 15:15,132,153,Terminal 5,G18,Delayed
376328,1/4/2024,Emirates,UN117,ATL,CDG,1/4/2024 12:00,1/4/2024 12:10,56,1/4/2024 16:00,1/4/2024 16:15,56,113,Terminal 4,G3,Cancelled
739541,1/4/2024,United Airlines,EM710,ORD,DXB,1/4/2024 13:00,1/4/2024 13:10,56,1/4/2024 17:00,1/4/2024 17:15,116,270,Terminal 5,G43,On Time
115044,1/4/2024,Emirates,LU144,JFK,SYD,1/4/2024 14:00,1/4/2024 14:10,71,1/4/2024 18:00,1/4/2024 18:15,79,92,Terminal 3,G28,On Time
348523,1/4/2024,Delta,EM521,ATL,CDG,1/4/2024 15:00,1/4/2024 15:10,71,1/4/2024 19:00,1/4/2024 19:15,18,128,Terminal 4,G11,Delayed
240438,1/4/2024,Lufthansa,EM664,JFK,LHR,1/4/2024 16:00,1/4/2024 16:10,101,1/4/2024 20:00,1/4/2024 20:15,56,50,Terminal 5,G17,Delayed
978271,1/4/2024,United Airlines,EM430,LAX,DXB,1/4/2024 17:00,1/4/2024 17:10,40,1/4/2024 21:00,1/4/2024 21:15,3,379,Terminal 4,G9,On Time
198224,1/4/2024,American Airlines,EM199,ORD,DXB,1/4/2024 18:00,1/4/2024 18:10,9,1/4/2024 22:00,1/4/2024 22:15,47,356,Terminal 1,G25,On Time
571773,1/4/2024,Lufthansa,LU683,JFK,HND,1/4/2024 19:00,1/4/2024 19:10,56,1/4/2024 23:00,1/4/2024 23:15,179,365,Terminal 1,G8,Cancelled
563939,1/4/2024,Emirates,AM266,ORD,SYD,1/4/2024 20:00,1/4/2024 20:10,2,1/5/2024 0:00,1/5/2024 0:15,56,122,Terminal 3,G4,On Time
392639,1/4/2024,Lufthansa,EM132,ATL,LHR,1/4/2024 21:00,1/4/2024 21:10,58,1/5/2024 1:00,1/5/2024 1:15,56,331,Terminal 5,G46,Cancelled
690863,1/4/2024,Lufthansa,EM883,ATL,DXB,1/4/2024 22:00,1/4/2024 22:10,49,1/5/2024 2:00,1/5/2024 2:15,56,265,Terminal 1,G16,Delayed
